date,close,high,low,open,volume,price_change,price_pct_change
2024-01-01,43943.09765625,45899.70703125,40813.53515625,42280.234375,202311773985,1662.86328125,3.9329566305177326
2024-01-08,41796.26953125,48969.37109375,41724.61328125,43948.70703125,259971819745,-2152.4375,-4.897612797731447
2024-01-15,41545.78515625,43566.2734375,40297.45703125,41715.06640625,139135824835,-169.28125,-0.4058036210500609
2024-01-22,42035.59375,42797.17578125,38521.89453125,41553.65234375,155314602893,481.94140625,1.1598051652912955
2024-01-29,42583.58203125,43838.9453125,41818.33203125,42030.9140625,135184187433,552.66796875,1.3149082790066908
2024-02-05,48293.91796875,48535.9375,42264.81640625,42577.62109375,157826395448,5716.296875,13.42559008267162
2024-02-12,52122.546875,52820.06640625,47745.76171875,48296.38671875,213560041471,3826.16015625,7.922249294820596
2024-02-19,51733.23828125,52945.05078125,50561.77734375,52134.8125,160769145627,-401.57421875,-0.770261173855761
2024-02-26,63167.37109375,63913.1328125,50931.03125,51730.5390625,322895666089,11436.83203125,22.10847255512301
2024-03-04,69019.7890625,70083.0546875,59323.91015625,63137.00390625,405709693297,5882.78515625,9.317491791319634
2024-03-11,68390.625,73750.0703125,64545.31640625,69020.546875,405957750577,-629.921875,-0.9126584814530998
2024-03-18,67234.171875,68897.1328125,60807.78515625,68371.3046875,328097121682,-1137.1328125,-1.6631726097628445
2024-03-25,71333.6484375,71727.6875,66414.8359375,67234.09375,216324625836,4099.5546875,6.097434290917322
2024-04-01,69362.5546875,71342.09375,64559.8984375,71333.484375,229427260104,-1970.9296875,-2.762979692873022
2024-04-08,65738.7265625,72715.359375,60919.10546875,69362.5546875,288243675431,-3623.828125,-5.224473264179036
2024-04-15,64926.64453125,66878.6484375,59651.390625,65739.6484375,257889555865,-813.00390625,-1.2367025464441586
2024-04-22,63113.23046875,67233.9609375,62424.71875,64935.6328125,176031088174,-1822.40234375,-2.806475065873525
2024-04-29,64031.1328125,64703.33203125,56555.29296875,63106.36328125,217717011805,924.76953125,1.4654140773863373
2024-05-06,61448.39453125,65494.90234375,60208.78125,64038.3125,161617857129,-2589.91796875,-4.044325760067459
2024-05-13,66278.3671875,67694.296875,60769.83984375,61451.21875,191456349028,4827.1484375,7.855252565678366
2024-05-20,68518.09375,71946.4609375,66086.171875,66278.7421875,225779718034,2239.3515625,3.378687477449347
2024-05-27,67751.6015625,70597.8828125,66633.421875,68512.1796875,170949409910,-760.578125,-1.1101356408001817
2024-06-03,69647.9921875,71907.8515625,67589.8359375,67753.8984375,187569500742,1894.09375,2.7955494719572758
2024-06-10,66639.046875,70146.0703125,65056.89453125,69644.3125,175973271622,-3005.265625,-4.315163029285413
2024-06-17,63180.796875,67188.3203125,63180.796875,66636.515625,163449015388,-3455.71875,-5.185923539950998
2024-06-24,62678.29296875,63292.52734375,58601.69921875,63173.3515625,171030093873,-495.05859375,-0.7836509881230824
2024-07-01,55849.109375,63777.2265625,53717.375,62673.60546875,213107531443,-6824.49609375,-10.888947656207199
2024-07-08,60787.79296875,61329.52734375,54321.01953125,55849.57421875,187407019962,4938.21875,8.841998921349207
2024-07-15,68154.5234375,68372.90625,60704.9296875,60815.45703125,222161876179,7339.06640625,12.067764947452131
2024-07-22,68255.8671875,69398.5078125,63473.47265625,68152.9765625,227265184992,102.890625,0.15097011192995172
2024-07-29,58116.9765625,69987.5390625,57210.8046875,68259.0546875,251002338760,-10142.078125,-14.858216498063042
2024-08-05,58719.484375,62673.765625,49121.23828125,58110.296875,317158734647,609.1875,1.0483296984532915
2024-08-12,58483.96484375,61687.7578125,56161.59375,58719.39453125,193731393138,-235.4296875,-0.4009402504562716
2024-08-19,64333.54296875,64996.421875,57864.7109375,58480.7109375,200670274120,5852.83203125,10.008141039025823
2024-08-26,57325.48828125,64489.70703125,57217.82421875,64342.2265625,208589155271,-7016.73828125,-10.905339550900003
2024-09-02,54841.56640625,59815.05859375,52598.69921875,57326.96875,207052844168,-2485.40234375,-4.335485370923262
2024-09-09,59182.8359375,60656.72265625,54598.43359375,54851.88671875,201400392020,4330.94921875,7.895716041558791
2024-09-16,63648.7109375,64119.53125,57501.33984375,59185.2265625,223578476939,4463.484375,7.54155155642858
2024-09-23,65635.3046875,66480.6953125,62628.078125,63643.1015625,185380794223,1992.203125,3.13027347204878
2024-09-30,62818.953125,65635.0546875,59878.8046875,65634.65625,221870167581,-2815.703125,-4.28996400053516
2024-10-07,62851.375,64443.70703125,58895.20703125,62819.109375,185760615870,32.265625,0.051362754615621294
2024-10-14,69001.703125,69359.0078125,62442.15234375,62848.3984375,233833427420,6153.3046875,9.790710408665694
2024-10-21,67929.296875,69462.734375,65188.03515625,69002.0,210764883686,-1072.703125,-1.5545971493579895
2024-10-28,68741.1171875,73577.2109375,67482.5234375,67922.671875,281658996077,818.4453125,1.2049663093439669
2024-11-04,80474.1875,81474.421875,66803.6484375,68742.1328125,436048950363,11732.0546875,17.066759798536037
2024-11-11,89845.8515625,93434.3515625,80283.25,80471.4140625,631742325166,9374.4375,11.64940073343203
2024-11-18,98013.8203125,99655.5,89393.59375,89843.71875,502412531238,8170.1015625,9.09368142388919
